Catégorie,Language,Nom,Lien,Avantages,Inconvenants,Contact
VOTE,PHP,PHP condorcet,https://www.condorcet.vote/,,,
SYNTHAXIQUE,JS,peg.js,http://pegjs.org/,Stable et pratique avec un éditeur en ligne,Pas trop efficace avec les récusions à gauche (lr),jmv_archi sur rocket chat
